ID,Name,Age,averagePoints,averagePoints,Price,position,gamesPlayed,Drafted,Ignored,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Darcy Wilmot,22,79.6,79.6,835000,Def,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Darcy Wilson,20,63.7,63.7,668000,Fwd,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
801,Darragh Joyce,28,0,0,352000,Def,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Dayne Zorko,37,101.5,101.5,1065000,Def,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Deven Robertson,24,15.5,15.5,232000,Fwd,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Dion Prestia,33,78.8,78.8,827000,Mid,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Dougal Howard,29,57.3,57.3,475000,Def,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Dylan Moore,26,81.8,81.8,858000,Fwd,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Dylan Patterson,18,0,0,334000,Def,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Dylan Stephens,25,63.9,63.9,670000,Mid,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Dyson Sharp,18,0,0,302000,Mid,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
613,Eamonn Armstrong,19,0,0,230000,Def,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Ed Langdon,30,74.2,74.2,778000,Fwd,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Ed Richards,26,96.7,96.7,1014000,Mid,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Edward Allan,21,48.4,48.4,508000,Mid,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Elijah Hewett,21,61,61,639000,Mid,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
446,Elijah Tsatas,21,49.8,49.8,444000,Mid,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Elliot Yeo,32,0,0,667000,Mid,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
678,Elliott Himmelberg,27,0,0,374000,Fwd,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Eric Hipwood,28,54.9,54.9,576000,Fwd,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Errol Gulden,23,102.3,102.3,1073000,Mid,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Esava Ratugolea,27,49.2,49.2,516000,Def,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Ethan Read,20,43,43,453000,Fwd,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
478,Ewan Mackinlay,22,75,75,574000,Mid,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Finlay Macrae,23,0,0,293000,Fwd,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Finn Callaghan,22,99,99,1038000,Mid,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Finn Maginness,25,48.9,48.9,513000,Fwd,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Finn O’Sullivan,19,53.7,53.7,564000,Def,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Finnbar Maley,22,35.7,35.7,341000,Fwd,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
885,Finnegan Davis,19,0,0,230000,Def,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Flynn Young,24,45.6,45.6,450000,Fwd,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Francis Evans,24,58.7,58.7,616000,Fwd,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
592,Fred Rodriguez,18,0,0,230000,Fwd,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
53,George Hewett,30,98.9,98.9,1037000,Mid,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
294,George Stevens,20,52.5,52.5,419000,Mid,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
157,George Wardlaw,21,68,68,713000,Mid,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Griffin Logue,27,47.1,47.1,494000,Def,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Gryan Miers,26,93.8,93.8,984000,Fwd,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Hamish Davis,19,43,43,424000,Mid,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Harley Barker,18,0,0,258000,Mid,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Harley Reid,20,66.7,66.7,700000,Mid,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Harris Andrews,29,62.2,62.2,653000,Def,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Harrison Jones,24,50,50,523000,Fwd,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
694,Harrison Oliver,19,0,0,230000,Def,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Harrison Petty,26,48.1,48.1,505000,Fwd,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
862,Harrison Ramm,19,35,35,268000,Def,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
726,Harry Armstrong,19,32.4,32.4,319000,Fwd,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Harry Barnett,22,0,0,230000,Ruck,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
711,Harry Charleson,19,0,0,230000,Def,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Harry Cunningham,32,57.8,57.8,607000,Def,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
746,Harry Dean,18,0,0,342000,Def,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Harry DeMattia,20,0,0,230000,Mid,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Harry Edwards,25,41.2,41.2,432000,Def,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Harry Himmelberg,29,78.2,78.2,820000,Def,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
603,Harry Kyle,18,0,0,298000,Def,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Harry McKay,28,78.3,78.3,821000,Fwd,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Harry Morrison,27,70.9,70.9,744000,Mid,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Harry O’Farrell,19,47,47,434000,Def,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Harry Perryman,27,63,63,660000,Def,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Harry Rowston,21,51.9,51.9,544000,Mid,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Harry Schoenberg,25,23,23,320000,Mid,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
696,Harry Sharp,23,30.6,30.6,321000,Fwd,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Harry Sheezel,21,109.2,109.2,1145000,Fwd,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Harvey Gallagher,22,41.8,41.8,489000,Def,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Harvey Harrison,22,0,0,300000,Fwd,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Harvey Johnston,20,0,0,230000,Def,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Harvey Langford,19,62.7,62.7,658000,Mid,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Harvey Thomas,20,51.2,51.2,537000,Fwd,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Hayden McLean,27,52.3,52.3,548000,Fwd,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Hayden Young,24,62.5,62.5,916000,Mid,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Heath Chapman,24,53.6,53.6,562000,Def,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
